Problem-Solving Score,Coding Experience (Years),Work_Experience,Project Experience,Technical_Skills,Soft_Skills,Academic Background,Interests,Personality Type,Certifications,Work Preference,Preferred Tech Stack,Recommended Career
70.28258324151881,6.281621459390462,2.5409669318285943,10.989930888848638,"Linux, AWS, Kubernetes, Jenkins","Leadership, Teamwork, Time Management",Information Technology,"Linux, AWS, Kubernetes, Jenkins",ENFP,,Hybrid,"Linux, AWS, Kubernetes, Jenkins",DevOps Engineer
90.24673696160433,2.121346547302799,1.5107789322663912,4.372490874968001,"R, Python","Adaptability, Critical Thinking",Data Science,"R, Python",ISTP,,Hybrid,"R, Python",Data Scientist
94.125528307571,4.433710764797276,4.017379949077514,5.475154924083429,"NLP, TensorFlow","Communication, Leadership",Computer Science,"NLP, TensorFlow",ENFP,AWS Certified,Hybrid,"NLP, TensorFlow",AI Engineer
90.53487854784312,5.73859386948707,5.469292258512376,4.64600243736411,"Python, TensorFlow, Computer Vision","Leadership, Communication",Mathematics,"Python, TensorFlow, Computer Vision",ENFP,Microsoft Certified,Remote,"Python, TensorFlow, Computer Vision",AI Engineer
83.25549408613624,5.680773870803905,3.9539878822521413,7.700611700893649,"Python, PyTorch, TensorFlow","Time Management, Teamwork, Creativity",Electronics Engineering,"Python, PyTorch, TensorFlow",INTP,Microsoft Certified,On-Site,"Python, PyTorch, TensorFlow",Data Scientist
87.57523843153024,4.991475894833876,3.2442792929886886,9.019668772577035,"R, Python, PyTorch","Time Management, Teamwork, Critical Thinking",Data Science,"R, Python, PyTorch",ISTJ,,Hybrid,"R, Python, PyTorch",Data Scientist
95.0,1.1525012496952471,0.043043834207323585,10.226005606596583,"R, PyTorch, Python","Creativity, Leadership, Problem Solving",Data Science,"R, PyTorch, Python",ISTJ,Cisco Certified,Hybrid,"R, PyTorch, Python",Data Scientist
84.31717745475852,6.879260397312673,3.551764539187152,5.9066082564712135,"Linux, Docker","Critical Thinking, Problem Solving, Adaptability",Information Technology,"Linux, Docker",INTP,AWS Certified,On-Site,"Linux, Docker",DevOps Engineer
89.14382988802437,2.198936795787016,0.20642143170134075,3.8286599710730735,"R, SQL","Communication, Leadership, Teamwork",Information Technology,"R, SQL",ENFP,Google Certified,Remote,"R, SQL",Data Scientist
79.09997832941029,1.6590989178799207,0.5166654846245011,14.733636872079611,"Python, JavaScript","Problem Solving, Creativity, Adaptability",Information Technology,"Python, JavaScript",INTP,,Remote,"Python, JavaScript",Software Engineer
83.68297077566363,2.271824058632267,0.8510539505755552,8.632739241428126,"Ethical Hacking, Network Security, Python","Creativity, Adaptability",Physics,"Ethical Hacking, Network Security, Python",INTP,Google Certified,Remote,"Ethical Hacking, Network Security, Python",Cybersecurity Expert
84.90608864214063,5.381577690711009,4.415190799299903,10.469302034151244,"JavaScript, Java, SQL, Python","Teamwork, Communication",Computer Science,"JavaScript, Java, SQL, Python",INTP,CompTIA Security+,Hybrid,"JavaScript, Java, SQL, Python",Software Engineer
87.33528586364444,1.1163596786791294,0.9092397735172625,4.818547747734,"TensorFlow, SQL, Python","Problem Solving, Leadership",Information Technology,"TensorFlow, SQL, Python",ISTJ,AWS Certified,On-Site,"TensorFlow, SQL, Python",Data Scientist
79.42377392115255,2.7501151445127325,1.5965628804031733,13.272515893726387,"Java, SQL","Teamwork, Critical Thinking",Computer Science,"Java, SQL",ISTP,CompTIA Security+,On-Site,"Java, SQL",Software Engineer
79.41399733575393,3.9460083936708155,0.04276546370893627,11.148437787773373,"Docker, Linux","Teamwork, Critical Thinking, Communication",Mathematics,"Docker, Linux",ISTJ,Cisco Certified,Remote,"Docker, Linux",DevOps Engineer
91.56833287939453,7.780563607818944,5.353261258255207,12.88053036508586,"Python, C++","Adaptability, Teamwork",Electronics Engineering,"Python, C++",ISTJ,CompTIA Security+,Hybrid,"Python, C++",Software Engineer
79.52291447558763,4.906527086133911,4.235012537224638,10.923239717745751,"Jenkins, AWS","Critical Thinking, Communication",Data Science,"Jenkins, AWS",ENTJ,CompTIA Security+,Remote,"Jenkins, AWS",DevOps Engineer
81.58828699439923,1.5940895813403597,0.18734736552141892,8.492103021160636,"PyTorch, TensorFlow","Problem Solving, Creativity",Information Technology,"PyTorch, TensorFlow",ENTP,CompTIA Security+,Remote,"PyTorch, TensorFlow",Data Scientist
87.25902257232093,3.613431941387918,0.15682577665087274,9.397146641788769,"Python, TensorFlow","Teamwork, Time Management",Computer Science,"Python, TensorFlow",ISTJ,,Hybrid,"Python, TensorFlow",AI Engineer
76.94534032185246,5.100662989007684,1.4148279338790315,4.693090437513852,"Docker, AWS, Linux","Adaptability, Critical Thinking, Creativity",Computer Science,"Docker, AWS, Linux",INTJ,CompTIA Security+,Remote,"Docker, AWS, Linux",DevOps Engineer
89.88154563240552,3.6257458550907793,0.48289541573975686,3.6858034163924684,"Python, Cryptography, Ethical Hacking","Creativity, Problem Solving",Mathematics,"Python, Cryptography, Ethical Hacking",ISTJ,CompTIA Security+,On-Site,"Python, Cryptography, Ethical Hacking",Cybersecurity Expert
81.9600751782347,7.897002354658531,2.9751085326915474,11.744517899688937,"Java, C++","Teamwork, Creativity",Physics,"Java, C++",INTJ,CompTIA Security+,On-Site,"Java, C++",Software Engineer
95.0,6.983184185369527,3.878681902617091,8.151899321444084,"Computer Vision, Python","Leadership, Teamwork",Physics,"Computer Vision, Python",ISTP,AWS Certified,Remote,"Computer Vision, Python",AI Engineer
80.86053460542144,4.357865977963998,2.2674312278413087,9.723183917356394,"SQL, PyTorch, Python, TensorFlow","Creativity, Leadership, Teamwork",Electronics Engineering,"SQL, PyTorch, Python, TensorFlow",ISTJ,,Hybrid,"SQL, PyTorch, Python, TensorFlow",Data Scientist
75.98067782284537,3.0648208075445535,0.4179541359338861,3.1309019910109375,"Docker, AWS, Jenkins","Critical Thinking, Time Management",Physics,"Docker, AWS, Jenkins",ISTP,Microsoft Certified,On-Site,"Docker, AWS, Jenkins",DevOps Engineer
82.42640870682531,2.8077107180927086,1.2891203838497673,14.740423478711202,"JavaScript, C++","Time Management, Leadership",Mathematics,"JavaScript, C++",ISTP,Cisco Certified,Remote,"JavaScript, C++",Software Engineer
81.48202714848163,6.371588024272086,3.2828718768460012,11.757993143430939,"Linux, Docker","Problem Solving, Critical Thinking",Computer Science,"Linux, Docker",ISTJ,AWS Certified,Hybrid,"Linux, Docker",DevOps Engineer
83.12669335821928,2.607913823400145,0.24068589559564996,6.811453940562932,"R, TensorFlow, Python","Leadership, Creativity, Time Management",Data Science,"R, TensorFlow, Python",ISTP,Microsoft Certified,On-Site,"R, TensorFlow, Python",Data Scientist
80.9066150734071,4.7373546906687825,0.1737813432825286,4.524369443440207,"Python, R, TensorFlow, PyTorch","Problem Solving, Communication",Mathematics,"Python, R, TensorFlow, PyTorch",ENFJ,AWS Certified,On-Site,"Python, R, TensorFlow, PyTorch",Data Scientist
88.79960734567865,6.203549929389656,0.5533835070829278,6.282684512124188,"PyTorch, TensorFlow","Critical Thinking, Adaptability, Teamwork",Information Technology,"PyTorch, TensorFlow",ENFJ,AWS Certified,On-Site,"PyTorch, TensorFlow",AI Engineer
78.54481964550942,2.4188795289936222,0.8782523340986532,8.459172413316011,"R, Python, PyTorch","Problem Solving, Teamwork, Adaptability",Data Science,"R, Python, PyTorch",ENFJ,Cisco Certified,Hybrid,"R, Python, PyTorch",Data Scientist
78.36983164584785,6.586978065427658,0.03491102588765314,11.775604466506282,"Linux, Jenkins, Docker","Adaptability, Critical Thinking",Information Technology,"Linux, Jenkins, Docker",ISTP,Cisco Certified,On-Site,"Linux, Jenkins, Docker",DevOps Engineer
89.53935973621213,5.04566227210673,1.2231176412382583,4.033531422652832,"Ethical Hacking, Python, Cryptography","Leadership, Communication, Adaptability",Data Science,"Ethical Hacking, Python, Cryptography",INTP,Microsoft Certified,Remote,"Ethical Hacking, Python, Cryptography",Cybersecurity Expert
81.99015660551808,4.407513611119646,3.350714640016153,7.956387406078443,"TensorFlow, Python, PyTorch","Problem Solving, Creativity",Mathematics,"TensorFlow, Python, PyTorch",INTJ,Microsoft Certified,On-Site,"TensorFlow, Python, PyTorch",Data Scientist
81.3012554731768,6.632247117948555,4.785806644041776,3.432851795676789,"Linux, Kubernetes","Leadership, Teamwork, Critical Thinking",Data Science,"Linux, Kubernetes",INTP,,Remote,"Linux, Kubernetes",DevOps Engineer
95.0,4.259743006495196,3.0405298202289477,9.197339562337385,"TensorFlow, NLP","Problem Solving, Teamwork",Mathematics,"TensorFlow, NLP",ENFJ,Google Certified,Hybrid,"TensorFlow, NLP",AI Engineer
81.62450093064368,5.138540265357089,1.7209259860096024,4.253448653970485,"AWS, Jenkins, Kubernetes, Docker","Leadership, Problem Solving",Mathematics,"AWS, Jenkins, Kubernetes, Docker",ENFJ,AWS Certified,Hybrid,"AWS, Jenkins, Kubernetes, Docker",DevOps Engineer
92.54885656229811,7.260593820570497,2.483716630856667,10.391315742048116,"Cryptography, Network Security, Python, Ethical Hacking","Teamwork, Leadership, Problem Solving",Physics,"Cryptography, Network Security, Python, Ethical Hacking",ISTJ,Microsoft Certified,On-Site,"Cryptography, Network Security, Python, Ethical Hacking",Cybersecurity Expert
79.51017240023461,5.4697422223355,2.9685628028718782,5.266191530162574,"Docker, Linux","Time Management, Communication, Critical Thinking",Data Science,"Docker, Linux",INTP,AWS Certified,Remote,"Docker, Linux",DevOps Engineer
80.62237486594067,7.512503133564479,5.935513312175856,3.2072034430887375,"Ethical Hacking, Cryptography, Python, Network Security","Teamwork, Time Management",Computer Science,"Ethical Hacking, Cryptography, Python, Network Security",ISTP,Google Certified,On-Site,"Ethical Hacking, Cryptography, Python, Network Security",Cybersecurity Expert
83.52305104762456,1.7926663208852869,1.7654916488000632,12.905675123797144,"C++, Java, JavaScript","Creativity, Leadership",Physics,"C++, Java, JavaScript",INTJ,CompTIA Security+,Hybrid,"C++, Java, JavaScript",Software Engineer
81.44991650812453,7.044626984290699,6.501910554354804,8.054101590144572,"C++, SQL, Python, JavaScript","Critical Thinking, Time Management",Physics,"C++, SQL, Python, JavaScript",ISTP,CompTIA Security+,Remote,"C++, SQL, Python, JavaScript",Software Engineer
77.76230106357043,6.463469952822614,1.7941763495792278,4.8612637830542615,"Java, C++, JavaScript","Time Management, Leadership, Critical Thinking",Computer Science,"Java, C++, JavaScript",ENFJ,AWS Certified,Remote,"Java, C++, JavaScript",Software Engineer
78.49042380383928,3.0256982024100356,0.5769634936337229,3.328947010632854,"Linux, Jenkins, Docker","Time Management, Problem Solving",Data Science,"Linux, Jenkins, Docker",ENTJ,Cisco Certified,Remote,"Linux, Jenkins, Docker",DevOps Engineer
86.77819794038028,2.377516819019446,1.7908555586898989,4.1784148377623955,"NLP, PyTorch, Python, Computer Vision","Critical Thinking, Creativity",Mathematics,"NLP, PyTorch, Python, Computer Vision",ENFJ,CompTIA Security+,Hybrid,"NLP, PyTorch, Python, Computer Vision",AI Engineer
79.87739866860113,5.569222754963123,1.3264929640458285,3.292738105871487,"SQL, Java, Python","Time Management, Teamwork",Electronics Engineering,"SQL, Java, Python",ENTJ,CompTIA Security+,On-Site,"SQL, Java, Python",Software Engineer
87.4468728061396,5.85755338168552,4.123402064405028,11.195616031862736,"Python, Network Security","Critical Thinking, Creativity",Data Science,"Python, Network Security",INTJ,Microsoft Certified,Remote,"Python, Network Security",Cybersecurity Expert
83.22483836176637,5.394659719799363,5.315721348557448,7.239589074244329,"Cryptography, Python","Teamwork, Critical Thinking, Adaptability",Data Science,"Cryptography, Python",ENTJ,,Hybrid,"Cryptography, Python",Cybersecurity Expert
86.2873661729133,5.502861506181929,3.8036981524717333,8.831838564454813,"SQL, PyTorch, Python","Problem Solving, Critical Thinking, Teamwork",Information Technology,"SQL, PyTorch, Python",ENTP,CompTIA Security+,Hybrid,"SQL, PyTorch, Python",Data Scientist
83.00600045878768,5.660922892295312,1.419366936173474,7.0647845068595805,"PyTorch, NLP","Problem Solving, Communication",Computer Science,"PyTorch, NLP",ENTJ,CompTIA Security+,On-Site,"PyTorch, NLP",AI Engineer
80.45183051255015,1.341248526770458,1.12273096307094,6.3719339635724355,"Python, R","Problem Solving, Leadership, Communication",Physics,"Python, R",ENFJ,Cisco Certified,On-Site,"Python, R",Data Scientist
78.67999878338665,6.776181563617395,1.0480865094582177,8.609992958144916,"AWS, Kubernetes, Jenkins","Adaptability, Critical Thinking",Mathematics,"AWS, Kubernetes, Jenkins",ENTJ,Microsoft Certified,Remote,"AWS, Kubernetes, Jenkins",DevOps Engineer
86.16338178956897,6.16817882512656,1.6786398728230179,8.312076001821783,"Network Security, Cryptography, Ethical Hacking, Python","Adaptability, Teamwork",Physics,"Network Security, Cryptography, Ethical Hacking, Python",ISTP,Google Certified,On-Site,"Network Security, Cryptography, Ethical Hacking, Python",Cybersecurity Expert
91.52401589366903,5.186157898947434,5.085426117778046,9.226910501088199,"Computer Vision, NLP, Python, TensorFlow","Teamwork, Problem Solving, Time Management",Data Science,"Computer Vision, NLP, Python, TensorFlow",ENFJ,CompTIA Security+,On-Site,"Computer Vision, NLP, Python, TensorFlow",AI Engineer
87.15126672976771,2.348193194499413,0.27070445774100993,7.482914576496663,"Python, C++","Teamwork, Time Management",Mathematics,"Python, C++",ENTP,Cisco Certified,Remote,"Python, C++",Software Engineer
85.39828928763794,3.205160808740808,1.29644091102617,7.724277594334657,"SQL, PyTorch","Critical Thinking, Problem Solving",Mathematics,"SQL, PyTorch",INTP,Microsoft Certified,Hybrid,"SQL, PyTorch",Data Scientist
82.56658018027677,6.3735083634209975,3.371185247446369,11.451609286616065,"Docker, Jenkins, Kubernetes, Linux","Problem Solving, Leadership",Physics,"Docker, Jenkins, Kubernetes, Linux",ENFJ,AWS Certified,Hybrid,"Docker, Jenkins, Kubernetes, Linux",DevOps Engineer
83.93486979226967,6.125902650292516,0.0204994881079247,8.075039964989482,"Python, JavaScript, SQL","Leadership, Teamwork",Physics,"Python, JavaScript, SQL",ENTP,Google Certified,Hybrid,"Python, JavaScript, SQL",Software Engineer
80.0,5.931725072077761,0.5303614841352324,5.340646206279427,"NLP, Computer Vision, Python, TensorFlow","Leadership, Time Management",Data Science,"NLP, Computer Vision, Python, TensorFlow",ISTJ,Google Certified,Remote,"NLP, Computer Vision, Python, TensorFlow",AI Engineer
84.35894236952444,1.1836596871330682,1.133082219984633,10.26205695793966,"TensorFlow, Python","Time Management, Critical Thinking",Information Technology,"TensorFlow, Python",ENTJ,Microsoft Certified,Hybrid,"TensorFlow, Python",Data Scientist
79.99430016360715,2.0772713443789854,1.6947067723381695,4.917727433876589,"JavaScript, C++","Leadership, Time Management, Critical Thinking",Mathematics,"JavaScript, C++",INTJ,Microsoft Certified,Hybrid,"JavaScript, C++",Software Engineer
85.03367331243419,6.146488581664169,1.7295663261732805,5.284438221491506,"C++, SQL, Java","Leadership, Problem Solving, Adaptability",Information Technology,"C++, SQL, Java",ENFP,CompTIA Security+,Hybrid,"C++, SQL, Java",Software Engineer
86.49643525831358,6.5325685972229,3.7321801789824236,7.296896080852517,"PyTorch, TensorFlow, Computer Vision, Python","Leadership, Critical Thinking, Adaptability",Mathematics,"PyTorch, TensorFlow, Computer Vision, Python",ISTJ,AWS Certified,Remote,"PyTorch, TensorFlow, Computer Vision, Python",AI Engineer
86.58902584600942,1.9461076989250294,1.715760811742567,11.613152881849075,"Python, R","Communication, Critical Thinking, Adaptability",Electronics Engineering,"Python, R",ISTJ,Cisco Certified,On-Site,"Python, R",Data Scientist
81.85241725975457,2.435190665874564,1.5023346731553664,11.811861780274235,"PyTorch, SQL","Critical Thinking, Teamwork, Time Management",Physics,"PyTorch, SQL",ENTP,,Remote,"PyTorch, SQL",Data Scientist
84.7222663359329,5.854270542704949,5.545738122385684,3.3310206954581787,"PyTorch, NLP, Computer Vision","Teamwork, Communication, Critical Thinking",Physics,"PyTorch, NLP, Computer Vision",ENTP,Google Certified,On-Site,"PyTorch, NLP, Computer Vision",AI Engineer
87.45896527699806,6.549579175574135,0.16103395603014733,3.1991119637609753,"Python, Network Security, Cryptography","Creativity, Communication",Physics,"Python, Network Security, Cryptography",INTJ,Google Certified,Remote,"Python, Network Security, Cryptography",Cybersecurity Expert
84.70007225026666,5.855775580470421,1.2927773074783333,3.070953593005955,"SQL, Python, JavaScript","Leadership, Problem Solving",Electronics Engineering,"SQL, Python, JavaScript",ENTJ,Cisco Certified,Hybrid,"SQL, Python, JavaScript",Software Engineer
74.98972887823695,3.3710760117433503,3.31706344512902,6.684006056835387,"Jenkins, Linux, AWS","Creativity, Adaptability",Physics,"Jenkins, Linux, AWS",ISTP,AWS Certified,Remote,"Jenkins, Linux, AWS",DevOps Engineer
91.0385777062481,6.223916140584438,4.736549500602116,7.009762573051323,"Python, NLP","Problem Solving, Teamwork, Time Management",Computer Science,"Python, NLP",ENTP,,Hybrid,"Python, NLP",AI Engineer
91.11270040145038,3.3449670221754886,2.667808889867336,4.48289567138859,"PyTorch, TensorFlow","Critical Thinking, Time Management, Teamwork",Physics,"PyTorch, TensorFlow",ISTP,AWS Certified,On-Site,"PyTorch, TensorFlow",AI Engineer
76.18339048693018,6.933312966335732,0.9879661952441112,7.489993381062204,"AWS, Kubernetes, Docker","Adaptability, Problem Solving, Time Management",Computer Science,"AWS, Kubernetes, Docker",ISTJ,,Remote,"AWS, Kubernetes, Docker",DevOps Engineer
85.4835524901344,2.3928924857751035,0.9497947250520352,3.061726032344483,"Python, PyTorch, Computer Vision, NLP","Critical Thinking, Time Management",Mathematics,"Python, PyTorch, Computer Vision, NLP",ENTJ,,Remote,"Python, PyTorch, Computer Vision, NLP",AI Engineer
82.79815184960087,5.963423636156415,5.193957858909848,11.283130117721562,"SQL, Python, JavaScript","Communication, Creativity",Information Technology,"SQL, Python, JavaScript",ENFJ,Google Certified,On-Site,"SQL, Python, JavaScript",Software Engineer
79.26531611147213,2.1479963669264808,0.9421267075272649,11.422745278362758,"Java, JavaScript, SQL, Python","Creativity, Critical Thinking",Electronics Engineering,"Java, JavaScript, SQL, Python",ENFJ,Google Certified,Hybrid,"Java, JavaScript, SQL, Python",Software Engineer
78.44389494912443,3.7123931785968374,1.8312376011599347,2.815264895524267,"PyTorch, R, TensorFlow, Python","Adaptability, Problem Solving",Information Technology,"PyTorch, R, TensorFlow, Python",ISTJ,Cisco Certified,Remote,"PyTorch, R, TensorFlow, Python",Data Scientist
90.99222476415844,6.412101791994516,4.922723718429999,7.54360393703716,"Cryptography, Network Security, Ethical Hacking","Problem Solving, Communication",Information Technology,"Cryptography, Network Security, Ethical Hacking",ENTP,,On-Site,"Cryptography, Network Security, Ethical Hacking",Cybersecurity Expert
78.61389767038459,3.3290640351012426,2.783091087548299,4.357920939592098,"SQL, Python, R","Time Management, Creativity, Communication",Data Science,"SQL, Python, R",ISTJ,AWS Certified,Hybrid,"SQL, Python, R",Data Scientist
77.25610088743895,4.430124794481929,2.626702504199327,8.214734094091508,"Cryptography, Python, Network Security","Time Management, Adaptability",Computer Science,"Cryptography, Python, Network Security",ENFP,Cisco Certified,Remote,"Cryptography, Python, Network Security",Cybersecurity Expert
76.74790072769083,3.6544468149458598,1.6400337753073013,9.024513613134253,"Jenkins, Kubernetes","Leadership, Time Management",Electronics Engineering,"Jenkins, Kubernetes",ENTP,CompTIA Security+,Remote,"Jenkins, Kubernetes",DevOps Engineer
87.47774292681139,5.937699158785425,2.650402736905968,13.234810309764196,"SQL, Java, Python","Problem Solving, Creativity, Critical Thinking",Computer Science,"SQL, Java, Python",ENFJ,Google Certified,Hybrid,"SQL, Java, Python",Software Engineer
86.5500280640881,4.536174043441962,0.1885817241360599,3.186745607696711,"NLP, Python","Adaptability, Teamwork, Problem Solving",Mathematics,"NLP, Python",INTP,Cisco Certified,Hybrid,"NLP, Python",AI Engineer
87.24195146807931,2.754449070839893,0.36555575489934666,4.291881258354536,"Python, Cryptography, Ethical Hacking","Teamwork, Critical Thinking, Leadership",Information Technology,"Python, Cryptography, Ethical Hacking",INTJ,Microsoft Certified,On-Site,"Python, Cryptography, Ethical Hacking",Cybersecurity Expert
85.9188556731152,4.842596822618956,0.5477452504672176,9.955103716964032,"PyTorch, R","Adaptability, Problem Solving, Teamwork",Data Science,"PyTorch, R",ENFJ,AWS Certified,Remote,"PyTorch, R",Data Scientist
83.33384809798258,7.9533585615104,5.984327787716678,3.1762620387316596,"C++, SQL, Java, JavaScript","Communication, Time Management, Critical Thinking",Electronics Engineering,"C++, SQL, Java, JavaScript",INTJ,Google Certified,Remote,"C++, SQL, Java, JavaScript",Software Engineer
70.15460219681896,5.245373293971966,1.7224821229901264,8.671878734962299,"Kubernetes, Jenkins, Docker","Adaptability, Critical Thinking",Mathematics,"Kubernetes, Jenkins, Docker",ENFP,,Hybrid,"Kubernetes, Jenkins, Docker",DevOps Engineer
80.5041918649898,4.79672163961433,2.4004968437509104,7.423636649797383,"SQL, R, PyTorch","Adaptability, Communication",Data Science,"SQL, R, PyTorch",ISTP,Microsoft Certified,On-Site,"SQL, R, PyTorch",Data Scientist
76.23657155999518,6.635172723981533,0.3998845441948437,11.409924241249628,"Linux, Docker, Jenkins","Adaptability, Leadership, Critical Thinking",Mathematics,"Linux, Docker, Jenkins",ENFP,Microsoft Certified,Hybrid,"Linux, Docker, Jenkins",DevOps Engineer
86.96042264850435,2.999526034020781,2.929712781453566,10.231740155956603,"Python, R, TensorFlow","Teamwork, Problem Solving, Creativity",Physics,"Python, R, TensorFlow",ENTP,Cisco Certified,Hybrid,"Python, R, TensorFlow",Data Scientist
84.88501859697537,1.7861304108785343,0.00461538749678462,10.29380767531287,"JavaScript, SQL","Problem Solving, Teamwork",Mathematics,"JavaScript, SQL",ISTJ,Cisco Certified,Hybrid,"JavaScript, SQL",Software Engineer
66.11543650950196,6.255871304263854,4.200346323091412,10.285769781915976,"Linux, AWS, Docker, Kubernetes","Creativity, Adaptability, Leadership",Electronics Engineering,"Linux, AWS, Docker, Kubernetes",INTJ,,Remote,"Linux, AWS, Docker, Kubernetes",DevOps Engineer
82.31939558397455,3.159735480579877,1.2351595448340669,8.350287016675559,"Jenkins, Linux, AWS","Adaptability, Teamwork",Mathematics,"Jenkins, Linux, AWS",ENFJ,Cisco Certified,Hybrid,"Jenkins, Linux, AWS",DevOps Engineer
88.55261500795676,5.016097051066861,1.691564026154197,11.149723130967065,"Kubernetes, AWS","Teamwork, Time Management, Adaptability",Physics,"Kubernetes, AWS",ISTJ,AWS Certified,Hybrid,"Kubernetes, AWS",DevOps Engineer
81.89090849746805,5.2400714876270635,4.6116773335876395,8.857896321424747,"Ethical Hacking, Network Security, Python","Problem Solving, Communication",Mathematics,"Ethical Hacking, Network Security, Python",INTP,,Hybrid,"Ethical Hacking, Network Security, Python",Cybersecurity Expert
88.50686532419611,2.5326043646466108,2.435518840210255,8.714640410319298,"Cryptography, Network Security, Ethical Hacking, Python","Time Management, Leadership, Problem Solving",Data Science,"Cryptography, Network Security, Ethical Hacking, Python",ISTJ,Cisco Certified,On-Site,"Cryptography, Network Security, Ethical Hacking, Python",Cybersecurity Expert
91.8265845101019,3.218283580319333,2.1612655123046447,2.7434331550351194,"Python, NLP, PyTorch","Problem Solving, Creativity",Physics,"Python, NLP, PyTorch",INTJ,Microsoft Certified,Remote,"Python, NLP, PyTorch",AI Engineer
88.82048039248137,2.904547627554936,1.0059080713258197,4.390553321972656,"TensorFlow, Python","Creativity, Communication, Time Management",Data Science,"TensorFlow, Python",ENTP,CompTIA Security+,Hybrid,"TensorFlow, Python",Data Scientist
82.80706396871352,7.267845922670417,6.30890227584421,10.253328601058591,"Ethical Hacking, Python, Network Security, Cryptography","Communication, Teamwork",Data Science,"Ethical Hacking, Python, Network Security, Cryptography",ENTP,Microsoft Certified,Hybrid,"Ethical Hacking, Python, Network Security, Cryptography",Cybersecurity Expert
88.33151373618395,5.026143453476374,2.409304181193696,6.078459985523248,"SQL, JavaScript, C++, Java","Creativity, Adaptability",Electronics Engineering,"SQL, JavaScript, C++, Java",INTP,CompTIA Security+,Hybrid,"SQL, JavaScript, C++, Java",Software Engineer
